"REF_DATE","GEO","DGUID","Sex or Gender","Indicator","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1970","Quebec","2016A000224","Both sexes","Median age at marriage","Years","308","units","0","v1331244401","6.1.4","22.2","","","","1"
"1970","Quebec","2016A000224","Males","Mean age at divorce","Years","308","units","0","v1331244394","6.2.1","40.7","","","","1"
"1970","Quebec","2016A000224","Males","Median age at divorce","Years","308","units","0","v1331244395","6.2.2","39.3","","","","1"
"1970","Quebec","2016A000224","Males","Mean age at marriage","Years","308","units","0","v1331244396","6.2.3","24.9","","","","1"
"1970","Quebec","2016A000224","Males","Median age at marriage","Years","308","units","0","v1331244397","6.2.4","23.4","","","","1"
"1970","Quebec","2016A000224","Females","Mean age at divorce","Years","308","units","0","v1331244390","6.3.1","37.9","","","","1"
"1970","Quebec","2016A000224","Females","Median age at divorce","Years","308","units","0","v1331244391","6.3.2","36.3","","","","1"
"1970","Quebec","2016A000224","Females","Mean age at marriage","Years","308","units","0","v1331244392","6.3.3","22.1","","","","1"
"1970","Quebec","2016A000224","Females","Median age at marriage","Years","308","units","0","v1331244393","6.3.4","21.0","","","","1"
"1970","Ontario","2016A000235","Both sexes","Mean age at divorce","Years","308","units","0","v1331244410","7.1.1","39.0","","","","1"
"1970","Ontario","2016A000235","Both sexes","Median age at divorce","Years","308","units","0","v1331244411","7.1.2","37.4","","","","1"
"1970","Ontario","2016A000235","Both sexes","Mean age at marriage","Years","308","units","0","v1331244412","7.1.3","23.1","","","","1"
"1970","Ontario","2016A000235","Both sexes","Median age at marriage","Years","308","units","0","v1331244413","7.1.4","21.6","","","","1"
"1970","Ontario","2016A000235","Males","Mean age at divorce","Years","308","units","0","v1331244406","7.2.1","40.4","","","","1"
"1970","Ontario","2016A000235","Males","Median age at divorce","Years","308","units","0","v1331244407","7.2.2","38.8","","","","1"
"1970","Ontario","2016A000235","Males","Mean age at marriage","Years","308","units","0","v1331244408","7.2.3","24.6","","","","1"
"1970","Ontario","2016A000235","Males","Median age at marriage","Years","308","units","0","v1331244409","7.2.4","23.0","","","","1"
"1970","Ontario","2016A000235","Females","Mean age at divorce","Years","308","units","0","v1331244402","7.3.1","37.5","","","","1"
"1970","Ontario","2016A000235","Females","Median age at divorce","Years","308","units","0","v1331244403","7.3.2","35.8","","","","1"
"1970","Ontario","2016A000235","Females","Mean age at marriage","Years","308","units","0","v1331244404","7.3.3","21.6","","","","1"
"1970","Ontario","2016A000235","Females","Median age at marriage","Years","308","units","0","v1331244405","7.3.4","20.2","","","","1"
"1970","Manitoba","2016A000246","Both sexes","Mean age at divorce","Years","308","units","0","v1331244422","8.1.1","38.9","","","","1"
"1970","Manitoba","2016A000246","Both sexes","Median age at divorce","Years","308","units","0","v1331244423","8.1.2","37.1","","","","1"
"1970","Manitoba","2016A000246","Both sexes","Mean age at marriage","Years","308","units","0","v1331244424","8.1.3","23.3","","","","1"
"1970","Manitoba","2016A000246","Both sexes","Median age at marriage","Years","308","units","0","v1331244425","8.1.4","21.7","","","","1"
"1970","Manitoba","2016A000246","Males","Mean age at divorce","Years","308","units","0","v1331244418","8.2.1","40.5","","","","1"
"1970","Manitoba","2016A000246","Males","Median age at divorce","Years","308","units","0","v1331244419","8.2.2","38.5","","","","1"
"1970","Manitoba","2016A000246","Males","Mean age at marriage","Years","308","units","0","v1331244420","8.2.3","24.9","","","","1"
"1970","Manitoba","2016A000246","Males","Median age at marriage","Years","308","units","0","v1331244421","8.2.4","23.1","","","","1"
"1970","Manitoba","2016A000246","Females","Mean age at divorce","Years","308","units","0","v1331244414","8.3.1","37.4","","","","1"
"1970","Manitoba","2016A000246","Females","Median age at divorce","Years","308","units","0","v1331244415","8.3.2","35.5","","","","1"
"1970","Manitoba","2016A000246","Females","Mean age at marriage","Years","308","units","0","v1331244416","8.3.3","21.8","","","","1"
"1970","Manitoba","2016A000246","Females","Median age at marriage","Years","308","units","0","v1331244417","8.3.4","20.2","","","","1"
"1970","Saskatchewan","2016A000247","Both sexes","Mean age at divorce","Years","308","units","0","v1331244434","9.1.1","39.2","","","","1"
"1970","Saskatchewan","2016A000247","Both sexes","Median age at divorce","Years","308","units","0","v1331244435","9.1.2","37.6","","","","1"
"1970","Saskatchewan","2016A000247","Both sexes","Mean age at marriage","Years","308","units","0","v1331244436","9.1.3","23.7","","","","1"
"1970","Saskatchewan","2016A000247","Both sexes","Median age at marriage","Years","308","units","0","v1331244437","9.1.4","21.9","","","","1"
"1970","Saskatchewan","2016A000247","Males","Mean age at divorce","Years","308","units","0","v1331244430","9.2.1","40.9","","","","1"
"1970","Saskatchewan","2016A000247","Males","Median age at divorce","Years","308","units","0","v1331244431","9.2.2","39.4","","","","1"
"1970","Saskatchewan","2016A000247","Males","Mean age at marriage","Years","308","units","0","v1331244432","9.2.3","25.4","","","","1"
"1970","Saskatchewan","2016A000247","Males","Median age at marriage","Years","308","units","0","v1331244433","9.2.4","23.6","","","","1"
"1970","Saskatchewan","2016A000247","Females","Mean age at divorce","Years","308","units","0","v1331244426","9.3.1","37.4","","","","1"
"1970","Saskatchewan","2016A000247","Females","Median age at divorce","Years","308","units","0","v1331244427","9.3.2","35.7","","","","1"
"1970","Saskatchewan","2016A000247","Females","Mean age at marriage","Years","308","units","0","v1331244428","9.3.3","22.0","","","","1"
"1970","Saskatchewan","2016A000247","Females","Median age at marriage","Years","308","units","0","v1331244429","9.3.4","20.3","","","","1"
"1970","Alberta","2016A000248","Both sexes","Mean age at divorce","Years","308","units","0","v1331244446","10.1.1","37.0","","","","1"
"1970","Alberta","2016A000248","Both sexes","Median age at divorce","Years","308","units","0","v1331244447","10.1.2","34.9","","","","1"
"1970","Alberta","2016A000248","Both sexes","Mean age at marriage","Years","308","units","0","v1331244448","10.1.3","23.9","","","","1"
"1970","Alberta","2016A000248","Both sexes","Median age at marriage","Years","308","units","0","v1331244449","10.1.4","22.1","","","","1"
"1970","Alberta","2016A000248","Males","Mean age at divorce","Years","308","units","0","v1331244442","10.2.1","38.7","","","","1"
"1970","Alberta","2016A000248","Males","Median age at divorce","Years","308","units","0","v1331244443","10.2.2","36.5","","","","1"
"1970","Alberta","2016A000248","Males","Mean age at marriage","Years","308","units","0","v1331244444","10.2.3","25.7","","","","1"
"1970","Alberta","2016A000248","Males","Median age at marriage","Years","308","units","0","v1331244445","10.2.4","23.6","","","","1"
"1970","Alberta","2016A000248","Females","Mean age at divorce","Years","308","units","0","v1331244438","10.3.1","35.3","","","","1"
"1970","Alberta","2016A000248","Females","Median age at divorce","Years","308","units","0","v1331244439","10.3.2","33.1","","","","1"
"1970","Alberta","2016A000248","Females","Mean age at marriage","Years","308","units","0","v1331244440","10.3.3","22.2","","","","1"
"1970","Alberta","2016A000248","Females","Median age at marriage","Years","308","units","0","v1331244441","10.3.4","20.4","","","","1"
"1970","British Columbia","2016A000259","Both sexes","Mean age at divorce","Years","308","units","0","v1331244458","11.1.1","39.3","","","","1"
"1970","British Columbia","2016A000259","Both sexes","Median age at divorce","Years","308","units","0","v1331244459","11.1.2","37.4","","","","1"
"1970","British Columbia","2016A000259","Both sexes","Mean age at marriage","Years","308","units","0","v1331244460","11.1.3","24.7","","","","1"
